k,u,omega
41.000000,0.600000,0.937500
42.000000,0.600000,0.944444
43.000000,0.600000,0.944444
44.000000,0.600000,0.944444
45.000000,0.600000,0.937500
46.000000,0.600000,0.944444
47.000000,0.600000,0.937500
48.000000,0.600000,0.944444
49.000000,0.600000,0.944444
50.000000,0.600000,0.944444
51.000000,0.600000,0.937500
52.000000,0.600000,0.944444
53.000000,0.600000,0.937500
54.000000,0.600000,0.951389
55.000000,0.600000,0.937500
56.000000,0.600000,0.937500
57.000000,0.600000,0.944444
58.000000,0.600000,0.937500
59.000000,0.600000,0.944444
60.000000,0.600000,0.944444
61.000000,0.600000,0.937500
62.000000,0.600000,0.944444
63.000000,0.600000,0.937500
64.000000,0.600000,0.944444
65.000000,0.600000,0.944444
66.000000,0.600000,0.937500
67.000000,0.600000,0.944444
68.000000,0.600000,0.937500
69.000000,0.600000,0.944444
70.000000,0.600000,0.944444
71.000000,0.600000,0.937500
72.000000,0.600000,0.944444
73.000000,0.600000,0.937500
74.000000,0.600000,0.937500
75.000000,0.600000,0.951389
76.000000,0.600000,0.937500
77.000000,0.600000,0.937500
78.000000,0.600000,0.944444
79.000000,0.600000,0.937500
80.000000,0.600000,0.944444
81.000000,0.600000,0.944444
82.000000,0.600000,0.937500
83.000000,0.600000,0.937500
84.000000,0.600000,0.944444
85.000000,0.600000,0.937500
86.000000,0.600000,0.944444
87.000000,0.600000,0.944444
88.000000,0.600000,0.937500
89.000000,0.600000,0.937500
90.000000,0.600000,0.944444
91.000000,0.600000,0.944444
92.000000,0.600000,0.944444
93.000000,0.600000,0.937500
94.000000,0.600000,0.937500
95.000000,0.600000,0.937500
96.000000,0.600000,0.951389
97.000000,0.600000,0.937500
98.000000,0.600000,0.944444
99.000000,0.600000,0.937500
100.000000,0.600000,0.937500
101.000000,0.800000,0.944444
102.000000,0.800000,0.972222
103.000000,0.800000,1.041667
104.000000,0.800000,1.097222
105.000000,0.800000,1.152778
106.000000,0.800000,1.187500
107.000000,0.800000,1.222222
108.000000,0.800000,1.236111
109.000000,0.800000,1.263889
110.000000,0.800000,1.277778
111.000000,0.800000,1.291667
112.000000,0.800000,1.291667
113.000000,0.800000,1.305556
114.000000,0.800000,1.319444
115.000000,0.800000,1.319444
116.000000,0.800000,1.319444
117.000000,0.800000,1.326389
118.000000,0.800000,1.333333
119.000000,0.800000,1.333333
120.000000,0.800000,1.333333
121.000000,0.800000,1.333333
122.000000,0.800000,1.340278
123.000000,0.800000,1.333333
124.000000,0.800000,1.340278
125.000000,0.800000,1.340278
126.000000,0.800000,1.347222
127.000000,0.800000,1.333333
128.000000,0.800000,1.340278
129.000000,0.800000,1.347222
130.000000,0.800000,1.340278
131.000000,0.800000,1.340278
132.000000,0.800000,1.340278
133.000000,0.800000,1.347222
134.000000,0.800000,1.340278
135.000000,0.800000,1.340278
136.000000,0.800000,1.347222
137.000000,0.800000,1.347222
138.000000,0.800000,1.340278
139.000000,0.800000,1.340278
140.000000,0.800000,1.347222
141.000000,0.800000,1.347222
142.000000,0.800000,1.340278
143.000000,0.800000,1.340278
144.000000,0.800000,1.347222
145.000000,0.800000,1.347222
146.000000,0.800000,1.340278
147.000000,0.800000,1.340278
148.000000,0.800000,1.347222
149.000000,0.800000,1.340278
150.000000,0.800000,1.340278
151.000000,0.800000,1.347222
152.000000,0.800000,1.347222
153.000000,0.800000,1.340278
154.000000,0.800000,1.340278
155.000000,0.800000,1.354167
156.000000,0.800000,1.340278
157.000000,0.800000,1.340278
158.000000,0.800000,1.340278
159.000000,0.800000,1.354167
160.000000,0.800000,1.340278
161.000000,0.800000,1.340278
162.000000,0.800000,1.347222
163.000000,0.800000,1.340278
164.000000,0.800000,1.347222
165.000000,0.800000,1.340278
166.000000,0.800000,1.347222
167.000000,0.800000,1.340278
168.000000,0.800000,1.340278
169.000000,0.800000,1.347222
170.000000,0.800000,1.347222
171.000000,0.800000,1.340278
172.000000,0.800000,1.340278
173.000000,0.800000,1.347222
174.000000,0.800000,1.340278
175.000000,0.800000,1.347222
176.000000,0.800000,1.340278
177.000000,0.800000,1.340278
178.000000,0.800000,1.347222
179.000000,0.800000,1.340278
180.000000,0.800000,1.340278
181.000000,0.800000,1.347222
182.000000,0.800000,1.347222
183.000000,0.800000,1.340278
184.000000,0.800000,1.340278
185.000000,0.800000,1.347222
186.000000,0.800000,1.347222
187.000000,0.800000,1.340278
188.000000,0.800000,1.340278
189.000000,0.800000,1.347222
190.000000,0.800000,1.340278
191.000000,0.800000,1.347222
192.000000,0.800000,1.340278
193.000000,0.800000,1.347222
194.000000,0.800000,1.340278
195.000000,0.800000,1.340278
196.000000,0.800000,1.354167
197.000000,0.800000,1.340278
198.000000,0.800000,1.340278
199.000000,0.800000,1.347222
200.000000,0.800000,1.347222
0.000000,0.800000,1.340278
1.000000,0.600000,1.340278
2.000000,0.600000,1.333333
3.000000,0.600000,1.284722
4.000000,0.600000,1.250000
5.000000,0.600000,1.215278
6.000000,0.600000,1.187500
7.000000,0.600000,1.159722
8.000000,0.600000,1.131944
9.000000,0.600000,1.104167
10.000000,0.600000,1.083333
11.000000,0.600000,1.069444
12.000000,0.600000,1.041667
13.000000,0.600000,1.027778
14.000000,0.600000,1.020833
