r,u,omega
1.102500,0.676200,1.104167
1.101200,0.675400,1.097222
1.100000,0.674300,1.097222
1.098700,0.674900,1.104167
1.097500,0.674600,1.097222
1.096200,0.672100,1.097222
1.095000,0.672000,1.090278
1.093800,0.671200,1.090278
1.092500,0.672000,1.097222
1.091200,0.671800,1.090278
1.090000,0.669300,1.090278
1.088800,0.669300,1.083333
1.087500,0.668500,1.090278
1.086200,0.669400,1.090278
1.085000,0.667400,1.083333
1.083800,0.665800,1.083333
1.082500,0.666100,1.076389
1.081200,0.665500,1.083333
1.080000,0.666500,1.083333
1.078800,0.664600,1.076389
1.077500,0.663100,1.076389
1.076200,0.663400,1.076389
1.075000,0.662900,1.083333
1.073800,0.662100,1.069444
1.072500,0.659200,1.076389
1.071200,0.660600,1.069444
1.070000,0.658800,1.069444
1.068700,0.659100,1.069444
1.067500,0.658500,1.069444
1.066200,0.657600,1.062500
1.065000,0.656500,1.062500
1.063800,0.657100,1.069444
1.062500,0.656800,1.062500
1.061200,0.654200,1.062500
1.060000,0.654100,1.055556
1.058800,0.653300,1.055556
1.057500,0.654100,1.062500
1.056200,0.653800,1.055556
1.055000,0.651300,1.055556
1.053800,0.651300,1.055556
1.052500,0.650500,1.048611
1.051200,0.649500,1.055556
1.050000,0.650100,1.048611
1.048700,0.648000,1.048611
1.047500,0.648100,1.048611
1.046200,0.647400,1.041667
1.045000,0.646500,1.048611
1.043800,0.647200,1.048611
1.042500,0.645100,1.034722
1.041200,0.643400,1.041667
1.040000,0.645500,1.041667
1.038700,0.644000,1.041667
1.037500,0.642800,1.041667
1.036200,0.641500,1.034722
1.035000,0.640100,1.027778
1.033800,0.640500,1.041667
1.032500,0.641800,1.027778
1.031200,0.638200,1.034722
1.030000,0.639500,1.027778
1.028700,0.637600,1.020833
1.027500,0.637800,1.034722
1.026300,0.639200,1.027778
1.025000,0.635600,1.020833
1.023700,0.635000,1.020833
1.022500,0.635800,1.020833
1.021300,0.635600,1.027778
1.020000,0.635000,1.013889
1.018700,0.632200,1.020833
1.017500,0.633800,1.013889
1.016300,0.632100,1.013889
1.015000,0.632500,1.020833
1.013700,0.632100,1.013889
1.012500,0.629500,1.006944
1.011300,0.629400,1.013889
1.010000,0.630400,1.006944
1.008700,0.628500,1.013889
1.007500,0.628800,1.006944
1.006300,0.626500,1.006944
1.005000,0.626500,1.000000
1.003700,0.625700,1.006944
1.002500,0.626600,1.006944
1.001300,0.624600,1.000000
1.000000,0.622900,0.993056
0.998700,0.623200,1.000000
0.997500,0.624500,0.993056
0.996300,0.622800,1.000000
