r,omega,u
50,50.0469,-0.125
50,50.0469,-0.132813
50,50.0469,-0.132813
50,50.0469,-0.132813
50,50.0352,-0.125
50,50.0352,-0.132813
50,50.0352,-0.132813
50,50.0352,-0.132813
50,50.0352,-0.132813
50,50.0352,-0.132813
50,50.0352,-0.132813
50,50.0234,-0.125
50,50.0234,-0.132813
50,50.0234,-0.132813
50,50.0234,-0.132813
50,50.0234,-0.132813
50,50.0234,-0.132813
50,50.0234,-0.132813
50,50.0234,-0.132813
50,50.0234,-0.132813
50,50.0234,-0.132813
50,50.0234,-0.136719
50,50.0234,-0.136719
50,50.0234,-0.136719
50,50.0234,-0.136719
50,50.0234,-0.136719
50,50.0234,-0.136719
50,50.0234,-0.136719
50,50.0234,-0.136719
50,50.0234,-0.136719
50,50.0117,-0.128906
50,50.0117,-0.136719
50,50.0117,-0.136719
50,50,-0.128906
50,50,-0.136719
50,50,-0.136719
50,50,-0.136719
50,50,-0.136719
50,50,-0.136719
50,50,-0.136719
50,50,-0.136719
50,50,-0.136719
50,50,-0.136719
50,50,-0.136719
50,50,-0.136719
50,50,-0.136719
50,49.9844,-0.128906
50,49.9844,-0.136719
50,49.9844,-0.136719
50,49.9844,-0.136719
50,49.9844,-0.136719
50,49.9844,-0.136719
50,49.9844,-0.136719
50,49.9844,-0.136719
50,49.9844,-0.136719
50,49.9844,-0.136719
50,49.9844,-0.136719
50,49.9844,-0.140625
50,49.9844,-0.140625
50,49.9844,-0.140625
50,49.9727,-0.132813
50,49.9727,-0.136719
50,49.9727,-0.136719
50,49.9727,-0.136719
50,49.9727,-0.136719
50,49.9727,-0.136719
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9727,-0.140625
50,49.9609,-0.132813
50,49.9609,-0.140625
50,49.9609,-0.140625
50,49.9609,-0.140625
50,49.9609,-0.140625
50,49.9609,-0.140625
50,49.9609,-0.140625
50,49.9492,-0.132813
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9492,-0.136719
50,49.9375,-0.128906
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.136719
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
