r,omega,u
50,50.1602,0.121094
49.9375,50.2109,0.121094
49.875,50.2734,0.113281
49.8125,50.3477,0.105469
49.75,50.4375,0.09375
49.6875,50.5117,0.0976563
49.625,50.5742,0.0976563
49.5625,50.6367,0.0976563
49.5,50.6875,0.101563
49.4375,50.7109,0.113281
49.375,50.7227,0.121094
49.3125,50.7227,0.128906
49.25,50.7344,0.125
49.1875,50.7344,0.132813
49.125,50.7344,0.132813
49.0625,50.75,0.125
49,50.75,0.132813
48.9375,50.7617,0.125
48.875,50.7734,0.125
48.8125,50.7734,0.128906
48.75,50.7734,0.128906
48.6875,50.7734,0.128906
48.625,50.7852,0.121094
48.5625,50.7852,0.125
48.5,50.7852,0.125
48.4375,50.7852,0.121094
48.375,50.7852,0.121094
48.3125,50.7852,0.117188
48.25,50.7852,0.113281
48.1875,50.7852,0.109375
48.125,50.7852,0.109375
48.0625,50.7852,0.105469
48,50.7852,0.101563
47.9375,50.7852,0.09375
47.875,50.7852,0.0898438
47.8125,50.7852,0.0859375
47.75,50.7852,0.0820313
47.6875,50.7852,0.0742188
47.625,50.7852,0.0703125
47.5625,50.7852,0.0625
47.5,50.7852,0.0585938
47.4375,50.7852,0.0507813
47.375,50.7852,0.0429688
47.3125,50.7852,0.0351563
47.25,50.7734,0.0351563
47.1875,50.7734,0.0195313
47.125,50.7734,0.0117188
47.0625,50.7734,0.00390625
47,50.7734,0
46.9375,50.7734,-0.0117188
46.875,50.7734,-0.0195313
46.8125,50.7734,-0.03125
46.75,50.7734,-0.0390625
46.6875,50.7734,-0.0507813
46.625,50.7734,-0.0625
46.5625,50.7734,-0.0742188
46.5,50.7734,-0.0859375
46.4375,50.7617,-0.0898438
46.375,50.75,-0.101563
46.3125,50.7227,-0.105469
46.25,50.6875,-0.105469
46.1875,50.625,-0.101563
46.125,50.5742,-0.113281
46.0625,50.5117,-0.113281
46,50.4609,-0.128906
45.9375,50.4102,-0.136719
45.875,50.3477,-0.136719
45.8125,50.2734,-0.136719
45.75,50.1719,-0.128906
45.6875,50.0742,-0.132813
45.625,49.9609,-0.128906
45.5625,49.8242,-0.113281
45.5,49.6992,-0.121094
45.4375,49.5742,-0.121094
45.375,49.4492,-0.121094
45.3125,49.3477,-0.136719
45.25,49.2344,-0.132813
45.1875,49.1367,-0.140625
45.125,49.0352,-0.144531
45.0625,48.9375,-0.148438
45,48.8477,-0.15625
44.9375,48.7617,-0.160156
44.875,48.6367,-0.140625
44.8125,48.4609,-0.109375
44.75,48.2109,-0.0585938
44.6875,47.9609,-0.0429688
44.625,47.7344,-0.0429688
44.5625,47.5742,-0.0703125
44.5,47.4844,-0.113281
44.4375,47.4102,-0.121094
44.375,47.3477,-0.132813
44.3125,47.2617,-0.121094
44.25,47.1484,-0.109375
44.1875,47.0234,-0.101563
44.125,46.9102,-0.105469
44.0625,46.8125,-0.113281
44,46.6992,-0.105469
43.9375,46.5977,-0.113281
43.875,46.5,-0.113281
43.8125,46.4102,-0.121094
43.75,46.3125,-0.117188
43.6875,46.1992,-0.109375
43.625,46.0859,-0.109375
43.5625,45.9844,-0.113281
43.5,45.875,-0.109375
43.4375,45.7852,-0.121094
43.375,45.7227,-0.140625
43.3125,45.6719,-0.152344
43.25,45.625,-0.15625
43.1875,45.5742,-0.164063
43.125,45.5117,-0.160156
43.0625,45.4219,-0.152344
43,45.2969,-0.128906
42.9375,45.1367,-0.101563
42.875,44.9492,-0.0820313
42.8125,44.7734,-0.078125
42.75,44.6367,-0.09375
42.6875,44.5352,-0.113281
42.625,44.4844,-0.144531
42.5625,44.4609,-0.164063
42.5,44.4219,-0.164063
42.4375,44.3594,-0.15625
42.375,44.2734,-0.140625
42.3125,44.1875,-0.144531
42.25,44.0977,-0.144531
42.1875,44.0117,-0.144531
42.125,43.9102,-0.140625
42.0625,43.7969,-0.128906
42,43.6992,-0.136719
41.9375,43.5859,-0.128906
41.875,43.4844,-0.132813
41.8125,43.3867,-0.132813
41.75,43.2852,-0.132813
41.6875,43.1992,-0.140625
41.625,43.125,-0.148438
41.5625,43.0352,-0.140625
41.5,42.9609,-0.148438
41.4375,42.8867,-0.152344
41.375,42.8242,-0.160156
41.3125,42.7617,-0.164063
41.25,42.6602,-0.144531
41.1875,42.5234,-0.121094
41.125,42.3359,-0.0820313
41.0625,42.125,-0.0546875
41,41.9219,-0.046875
40.9375,41.7617,-0.0585938
40.875,41.6602,-0.0898438
40.8125,41.625,-0.125
40.75,41.6094,-0.144531
40.6875,41.6094,-0.160156
40.625,41.5859,-0.152344
40.5625,41.5469,-0.152344
40.5,41.4844,-0.140625
40.4375,41.4102,-0.132813
40.375,41.3125,-0.117188
40.3125,41.2227,-0.125
40.25,41.125,-0.117188
40.1875,41.0234,-0.113281
40.125,40.9219,-0.109375
40.0625,40.8359,-0.117188
40,40.75,-0.113281
39.9375,40.6719,-0.121094
39.875,40.5977,-0.121094
39.8125,40.5352,-0.128906
39.75,40.4727,-0.132813
39.6875,40.3984,-0.125
39.625,40.3125,-0.117188
39.5625,40.2344,-0.125
39.5,40.1602,-0.125
